i,t,y
250931,2023-04-19,240.0
250931,2023-05-04,160.0
250931,2023-05-11,400.0
250931,2023-05-17,240.0
250931,2023-05-24,160.0
250931,2023-06-01,1200.0
250931,2023-06-08,1600.0
250931,2023-06-22,800.0
250931,2023-07-06,1200.0
250931,2023-07-12,1600.0
250993,2023-01-30,500.0
250993,2023-02-08,300.0
250993,2023-03-02,400.0
250993,2023-04-04,150.0
250993,2023-05-11,300.0
250993,2023-06-01,500.0
250993,2023-06-15,500.0
250993,2023-06-22,500.0
250993,2023-06-29,500.0
250993,2023-07-12,500.0
251003,2023-01-30,180.0
251003,2023-02-08,180.0
251003,2023-03-02,50.0
251003,2023-03-22,40.0
251003,2023-04-11,12.0
251003,2023-05-04,30.0
251003,2023-05-11,180.0
251013,2023-01-30,120.0
251013,2023-02-08,120.0
251013,2023-03-08,80.0
251013,2023-04-04,50.0
251013,2023-04-11,30.0
251013,2023-04-19,18.0
251013,2023-04-26,30.0
251013,2023-05-04,54.0
251042,2023-03-02,550.0
251042,2023-04-11,96.0
251042,2023-04-19,18.0
251042,2023-04-26,36.0
251042,2023-05-04,275.0
251042,2023-05-11,186.0
251062,2023-03-06,5.0
3046,2023-06-15,0.0
3046,2023-06-22,208.0
3102,2022-12-07,360.0
3122,2022-07-21,120.0
3122,2022-08-03,80.0
3122,2023-04-19,400.0
3122,2023-06-26,200.0
3122,2023-06-29,1000.0
3165,2023-03-29,96.0
3165,2023-05-04,24.0
3165,2023-05-11,48.0
3165,2023-05-17,24.0
3165,2023-05-24,120.0
3165,2023-06-01,72.0
3165,2023-06-08,240.0
3165,2023-06-15,48.0
3165,2023-06-22,360.0
3165,2023-06-29,96.0
3165,2023-07-12,48.0
3165,2023-07-20,72.0
3186,2023-04-04,10.0
3192,2023-04-19,1.0
320021,2022-08-31,240.0
320021,2022-09-06,101.0
320021,2022-09-23,119.0
320021,2022-10-13,240.0
320021,2022-11-14,240.0
320021,2022-12-09,234.0
320021,2023-01-18,240.0
320021,2023-02-27,240.0
320021,2023-04-20,240.0
320041,2022-08-12,135.0
320041,2022-09-06,165.0
320041,2022-10-13,135.0
320041,2022-11-14,135.0
320041,2022-11-25,283.0
320041,2023-02-01,135.0
320041,2023-02-17,270.0
320041,2023-05-16,63.0
320041,2023-05-18,84.0
3201,2023-05-04,28.0
3201,2023-05-24,28.0
3201,2023-06-01,42.0
3201,2023-06-15,28.0
3201,2023-07-06,56.0
3201,2023-07-20,28.0
320181,2022-07-26,101.0
320181,2022-08-12,59.0
320181,2023-02-01,120.0
320181,2023-02-17,120.0
320181,2023-02-27,120.0
320181,2023-04-20,60.0
320271,2022-07-08,144.0
320271,2022-07-26,48.0
320271,2022-08-12,48.0
320271,2022-08-31,144.0
320271,2022-09-06,336.0
320271,2022-10-13,240.0
320271,2022-10-31,96.0
320271,2022-11-14,192.0
320271,2022-11-25,144.0
320271,2022-12-09,192.0
320271,2023-01-13,48.0
320271,2023-01-18,192.0
320271,2023-02-01,96.0
320271,2023-02-08,96.0
320271,2023-02-27,336.0
320271,2023-03-10,96.0
320271,2023-03-28,144.0
320271,2023-04-20,192.0
320301,2022-07-08,672.0
320301,2022-07-26,768.0
320301,2022-08-12,1440.0
320301,2022-08-31,288.0
320301,2022-09-26,1440.0
320301,2022-10-13,768.0
320301,2022-10-31,1056.0
320301,2022-11-14,768.0
320301,2022-11-25,1536.0
320301,2022-12-09,1536.0
320301,2022-12-20,1440.0
320301,2023-01-13,1056.0
320301,2023-01-18,576.0
320301,2023-02-01,1536.0
320301,2023-02-17,1152.0
320301,2023-03-10,1248.0
320301,2023-03-28,192.0
320301,2023-04-20,480.0
320361,2022-07-08,216.0
320361,2022-07-26,144.0
320361,2022-08-12,72.0
320361,2022-08-31,144.0
320361,2022-09-06,360.0
320361,2022-09-23,216.0
320361,2022-10-31,72.0
320361,2022-11-14,144.0
320361,2022-11-25,216.0
320361,2022-12-09,144.0
320361,2022-12-28,72.0
320361,2023-01-18,72.0
320361,2023-02-17,144.0
320361,2023-03-10,216.0
320361,2023-04-10,432.0
320361,2023-04-20,72.0
320381,2022-07-08,96.0
320381,2022-07-26,576.0
320381,2022-08-12,1344.0
320381,2022-08-31,384.0
320381,2022-09-06,96.0
320381,2022-09-23,576.0
320381,2022-10-13,288.0
320381,2022-10-31,576.0
320381,2022-11-14,288.0
320381,2022-11-25,672.0
320381,2022-12-09,672.0
320381,2022-12-20,480.0
320381,2023-01-13,288.0
320381,2023-01-18,192.0
320381,2023-02-01,672.0
320381,2023-02-17,1344.0
320381,2023-03-10,96.0
320381,2023-03-28,96.0
320381,2023-04-20,384.0
320461,2022-07-08,1632.0
320461,2022-07-26,1632.0
320461,2022-08-12,3840.0
320461,2022-08-31,288.0
320461,2022-09-23,480.0
320461,2022-11-25,1056.0
320461,2022-12-09,1536.0
320461,2022-12-20,960.0
320461,2023-01-13,768.0
320461,2023-01-18,384.0
320461,2023-02-01,1056.0
320461,2023-03-10,384.0
320461,2023-03-28,480.0
320461,2023-04-20,1632.0
320471,2022-07-08,2112.0
320471,2022-07-26,2016.0
320471,2022-08-12,5472.0
320471,2022-08-31,384.0
320471,2022-09-06,384.0
320471,2022-09-26,1440.0
320471,2022-10-13,288.0
320471,2022-10-31,1536.0
320471,2022-11-14,192.0
320471,2022-11-25,2112.0
320471,2022-12-09,2016.0
320471,2022-12-20,1440.0
320471,2023-01-13,288.0
320471,2023-01-18,480.0
320471,2023-02-01,960.0
320471,2023-03-10,768.0
320471,2023-03-28,960.0
320471,2023-04-20,1632.0
320491,2022-07-08,81.0
320491,2022-07-26,162.0
320491,2022-08-12,486.0
320491,2022-09-06,324.0
320491,2022-09-23,162.0
320491,2022-10-13,162.0
320491,2022-10-31,243.0
320491,2022-11-14,243.0
320491,2022-11-25,486.0
320491,2022-11-30,405.0
320491,2023-01-13,243.0
320491,2023-01-18,81.0
320491,2023-02-01,81.0
320491,2023-02-08,81.0
320491,2023-02-17,162.0
320491,2023-03-28,243.0
320491,2023-04-20,567.0
320501,2022-07-08,162.0
320501,2022-07-26,162.0
320501,2022-08-12,648.0
320501,2022-09-06,81.0
320501,2022-09-23,162.0
320501,2022-10-13,81.0
320501,2022-10-31,162.0
320501,2022-11-14,162.0
320501,2022-11-25,486.0
320501,2022-11-30,405.0
320501,2023-02-01,81.0
320501,2023-02-08,81.0
320501,2023-02-17,162.0
320501,2023-03-10,81.0
320501,2023-03-28,81.0
320501,2023-04-10,243.0
320501,2023-04-20,324.0
320511,2022-07-26,480.0
320511,2022-08-12,2016.0
320511,2022-08-31,288.0
320511,2022-09-06,480.0
320511,2022-09-23,288.0
320511,2022-10-31,384.0
320511,2022-11-14,96.0
320511,2022-11-25,480.0
320511,2022-12-09,288.0
320511,2022-12-20,480.0
320511,2023-01-13,96.0
320511,2023-01-18,192.0
320511,2023-02-01,480.0
320511,2023-02-17,960.0
320511,2023-03-10,192.0
320511,2023-03-28,96.0
320511,2023-04-20,384.0
320521,2022-07-26,480.0
320521,2022-08-12,768.0
320521,2022-08-31,384.0
320521,2022-09-06,288.0
320521,2022-09-23,288.0
320521,2022-10-31,96.0
320521,2022-11-14,192.0
320521,2022-11-25,384.0
320521,2022-12-09,288.0
320521,2022-12-20,288.0
320521,2023-01-13,192.0
320521,2023-01-18,192.0
320521,2023-02-01,384.0
320521,2023-02-08,96.0
320521,2023-02-17,672.0
320521,2023-03-10,288.0
320521,2023-04-20,480.0
320531,2022-07-08,576.0
320531,2022-07-26,480.0
320531,2022-08-12,2.0
320531,2022-08-31,288.0
320531,2022-09-06,576.0
320531,2022-09-23,288.0
320531,2022-10-13,96.0
