i,t,y
10072,2023-04-12,39.0
10072,2023-04-13,45.0
10072,2023-04-14,33.0
10072,2023-04-15,35.0
10072,2023-04-16,30.0
10072,2023-04-17,2.0
10072,2023-04-22,2.0
10072,2023-04-23,4.0
10072,2023-04-25,1.0
10072,2023-04-26,6.0
10072,2023-04-27,12.0
10072,2023-04-28,69.0
10072,2023-04-29,74.0
10072,2023-04-30,80.0
10072,2023-05-01,122.0
10072,2023-05-02,138.0
10072,2023-05-03,91.0
10072,2023-05-04,98.0
10072,2023-05-05,77.0
10072,2023-05-06,41.0
10072,2023-05-07,65.0
10072,2023-05-08,155.0
10072,2023-05-09,62.0
10072,2023-05-10,75.0
10072,2023-05-11,80.0
10072,2023-05-12,33.0
10072,2023-05-13,18.0
10072,2023-05-14,17.0
10072,2023-05-25,2.0
10072,2023-05-26,2.0
10072,2023-05-27,3.0
10072,2023-05-28,5.0
10072,2023-05-29,5.0
10072,2023-05-30,11.0
10072,2023-05-31,59.0
10072,2023-06-01,96.0
10072,2023-06-02,72.0
10072,2023-06-03,65.0
10072,2023-06-04,57.0
10072,2023-06-05,56.0
10072,2023-06-06,60.0
10072,2023-06-07,84.0
10072,2023-06-08,61.0
10072,2023-06-09,46.0
10072,2023-06-10,66.0
10072,2023-06-11,56.0
10072,2023-06-12,82.0
10072,2023-06-13,48.0
10072,2023-06-14,68.0
10072,2023-06-15,31.0
10072,2023-06-24,1.0
10072,2023-06-25,2.0
10072,2023-06-26,1.0
10072,2023-06-27,7.0
10072,2023-06-28,6.0
10072,2023-06-29,15.0
10072,2023-06-30,36.0
10072,2023-07-01,76.0
10072,2023-07-02,58.0
10072,2023-07-03,85.0
10072,2023-07-04,69.0
10072,2023-07-05,84.0
10072,2023-07-06,68.0
10072,2023-07-07,151.0
10072,2023-07-08,54.0
10072,2023-07-09,58.0
10072,2023-07-10,80.0
10072,2023-07-11,97.0
10072,2023-07-12,7.0
10081,2022-06-29,1.0
10081,2022-06-30,8.0
10081,2022-07-01,10.0
10081,2022-07-02,16.0
10081,2022-07-03,15.0
10081,2022-07-04,13.0
10081,2022-07-05,19.0
10081,2022-07-06,10.0
10081,2022-07-07,11.0
10081,2022-07-08,9.0
10081,2022-07-09,4.0
10081,2022-07-10,9.0
10081,2022-07-11,11.0
10081,2022-07-14,2.0
10081,2022-07-29,4.0
10081,2022-07-30,5.0
10081,2022-07-31,7.0
10081,2022-08-01,10.0
10081,2022-08-02,6.0
10081,2022-08-03,11.0
10081,2022-08-04,4.0
10081,2022-08-05,5.0
10081,2022-08-06,10.0
10081,2022-08-07,3.0
10081,2022-08-08,8.0
10081,2022-08-09,11.0
10081,2022-08-10,9.0
10081,2022-08-11,3.0
10081,2022-08-31,7.0
10081,2022-09-01,7.0
10081,2022-09-02,3.0
10081,2022-09-03,1.0
10081,2022-09-04,6.0
10081,2022-09-05,8.0
10081,2022-09-06,2.0
10081,2022-09-07,3.0
10081,2022-09-08,4.0
10081,2022-09-09,2.0
10081,2022-09-10,6.0
10081,2022-09-11,1.0
10081,2022-09-12,4.0
10081,2022-09-13,4.0
10081,2022-09-14,4.0
10081,2022-09-15,9.0
10081,2022-09-17,7.0
10081,2022-09-18,3.0
10081,2022-09-29,1.0
10081,2022-10-01,3.0
10081,2022-10-02,2.0
10081,2022-10-03,2.0
10081,2022-10-04,7.0
10081,2022-10-05,9.0
10081,2022-10-06,4.0
10081,2022-10-07,2.0
10081,2022-10-08,4.0
10081,2022-10-09,4.0
10081,2022-10-10,4.0
10081,2022-10-11,4.0
10081,2022-10-12,8.0
10081,2022-10-13,9.0
10081,2022-10-14,3.0
10081,2022-10-15,2.0
10081,2022-10-16,4.0
10081,2022-11-01,5.0
10081,2022-11-02,3.0
10081,2022-11-03,2.0
10081,2022-11-04,5.0
10081,2022-11-05,5.0
10081,2022-11-06,4.0
10081,2022-11-07,4.0
10081,2022-11-08,3.0
10081,2022-11-09,1.0
10081,2022-11-10,10.0
10081,2022-11-11,6.0
10081,2022-11-12,1.0
10081,2022-11-13,3.0
10081,2022-11-30,5.0
10081,2022-12-01,2.0
10081,2022-12-02,3.0
10081,2022-12-03,2.0
10081,2022-12-04,4.0
10081,2022-12-05,5.0
10081,2022-12-06,5.0
10081,2022-12-07,12.0
10081,2022-12-08,11.0
10081,2022-12-09,7.0
10081,2022-12-10,5.0
10081,2022-12-11,5.0
10081,2022-12-12,11.0
10081,2022-12-13,9.0
10081,2022-12-14,7.0
10081,2022-12-15,3.0
10081,2022-12-29,1.0
10081,2022-12-30,2.0
10081,2022-12-31,1.0
10081,2023-01-01,4.0
10081,2023-01-02,2.0
10081,2023-01-03,5.0
10081,2023-01-04,6.0
10081,2023-01-05,6.0
10081,2023-01-06,3.0
10081,2023-01-07,2.0
10081,2023-01-08,5.0
10081,2023-01-09,5.0
10081,2023-01-10,3.0
10081,2023-01-11,1.0
10081,2023-01-12,3.0
10081,2023-01-31,5.0
10081,2023-02-01,6.0
10081,2023-02-02,2.0
10081,2023-02-03,3.0
10081,2023-02-04,5.0
10081,2023-02-05,3.0
10081,2023-02-06,3.0
10081,2023-02-07,2.0
10081,2023-02-08,4.0
10081,2023-02-09,4.0
10081,2023-02-10,5.0
10081,2023-02-11,3.0
10081,2023-02-12,4.0
10081,2023-02-13,2.0
10081,2023-02-27,1.0
10081,2023-02-28,5.0
10081,2023-03-01,4.0
10081,2023-03-02,2.0
10081,2023-03-03,4.0
10081,2023-03-04,3.0
10081,2023-03-06,3.0
10081,2023-03-08,3.0
10081,2023-03-09,1.0
10081,2023-03-10,2.0
10081,2023-03-11,2.0
10081,2023-03-12,2.0
10081,2023-03-13,4.0
10081,2023-03-14,3.0
10081,2023-03-15,7.0
10081,2023-03-16,6.0
10081,2023-03-31,7.0
10081,2023-04-01,3.0
10081,2023-04-02,3.0
10081,2023-04-03,6.0
10081,2023-04-04,4.0
10081,2023-04-05,3.0
10081,2023-04-06,1.0
10081,2023-04-07,1.0
10081,2023-04-08,2.0
10081,2023-04-09,1.0
10081,2023-04-10,3.0
10081,2023-04-11,3.0
10081,2023-04-12,4.0
10081,2023-04-13,2.0
10081,2023-04-14,2.0
10081,2023-04-15,2.0
10081,2023-04-16,1.0
10081,2023-04-28,1.0
10081,2023-04-29,6.0
10081,2023-05-01,2.0
10081,2023-05-02,3.0
10081,2023-05-03,2.0
10081,2023-05-04,1.0
10081,2023-05-05,5.0
10081,2023-05-07,4.0
10081,2023-05-08,2.0
10081,2023-05-09,2.0
10081,2023-05-10,2.0
10081,2023-05-11,5.0
10081,2023-05-14,1.0
10081,2023-05-26,1.0
10081,2023-05-31,1.0
10081,2023-06-01,3.0
10081,2023-06-02,4.0
10081,2023-06-03,2.0
10081,2023-06-04,4.0
10081,2023-06-05,2.0
