i,t,y
11,2023-04-24,3099.0
11,2023-05-01,3035.0
11,2023-05-08,3080.0
11,2023-05-15,3127.0
11,2023-05-22,3223.0
11,2023-05-29,3461.0
11,2023-06-05,3464.0
11,2023-06-12,3500.0
11,2023-06-19,3523.0
11,2023-06-26,3763.0
11,2023-07-03,3825.0
11,2023-07-10,3822.0
11,2023-07-17,3970.0
11,2023-07-24,4138.0
11,2023-07-31,4282.0
170011,2022-07-04,487.0
170011,2022-07-11,459.0
170011,2022-07-18,459.0
170011,2022-07-25,459.0
170011,2022-08-01,444.0
170011,2022-08-08,416.0
170011,2022-08-15,401.0
170011,2022-08-22,401.0
170011,2022-08-29,401.0
170011,2022-09-05,369.0
170011,2022-09-12,348.0
170011,2022-09-19,315.0
170011,2022-09-26,315.0
170011,2022-10-03,305.0
170011,2022-10-10,261.0
170011,2022-10-17,231.0
170011,2022-10-24,231.0
170011,2022-10-31,228.0
170011,2022-11-07,198.0
170011,2022-11-14,182.0
170011,2022-11-21,182.0
170011,2022-11-28,182.0
170011,2022-12-05,162.0
170011,2022-12-12,146.0
170011,2022-12-19,132.0
170011,2022-12-26,132.0
170011,2023-01-02,127.0
170011,2023-01-09,115.0
170011,2023-01-16,104.0
170011,2023-01-23,104.0
170011,2023-01-30,103.0
170011,2023-02-06,94.0
170011,2023-02-13,134.0
170011,2023-02-20,134.0
170011,2023-02-27,133.0
170011,2023-03-06,122.0
170011,2023-03-13,63.0
170011,2023-03-20,59.0
170011,2023-03-27,59.0
170011,2023-04-03,56.0
170011,2023-04-10,48.0
170011,2023-04-17,38.0
170011,2023-04-24,38.0
170011,2023-05-01,34.0
170011,2023-05-08,27.0
170011,2023-05-15,22.0
170011,2023-05-22,22.0
170011,2023-05-29,22.0
170011,2023-06-05,14.0
170011,2023-06-12,4.0
170011,2023-06-19,0.0
170011,2023-06-26,0.0
170011,2023-07-03,0.0
170011,2023-07-10,0.0
170011,2023-07-17,0.0
170011,2023-07-24,0.0
170011,2023-07-31,0.0
170021,2022-07-04,208.0
170021,2022-07-11,199.0
170021,2022-07-18,199.0
170021,2022-07-25,199.0
170021,2022-08-01,196.0
170021,2022-08-08,185.0
170021,2022-08-15,184.0
170021,2022-08-22,184.0
170021,2022-08-29,184.0
170021,2022-09-05,177.0
170021,2022-09-12,160.0
170021,2022-09-19,150.0
170021,2022-09-26,150.0
170021,2022-10-03,148.0
170021,2022-10-10,140.0
170021,2022-10-17,128.0
170021,2022-10-24,128.0
170021,2022-10-31,128.0
170021,2022-11-07,119.0
170021,2022-11-14,111.0
170021,2022-11-21,111.0
170021,2022-11-28,111.0
170021,2022-12-05,109.0
170021,2022-12-12,106.0
170021,2022-12-19,100.0
170021,2022-12-26,100.0
170021,2023-01-02,94.0
170021,2023-01-09,90.0
170021,2023-01-16,86.0
170021,2023-01-23,86.0
170021,2023-01-30,86.0
170021,2023-02-06,85.0
170021,2023-02-13,83.0
170021,2023-02-20,83.0
170021,2023-02-27,83.0
170021,2023-03-06,81.0
170021,2023-03-13,77.0
170021,2023-03-20,76.0
170021,2023-03-27,76.0
170021,2023-04-03,76.0
170021,2023-04-10,74.0
170021,2023-04-17,72.0
170021,2023-04-24,72.0
170021,2023-05-01,72.0
170021,2023-05-08,10.0
170021,2023-05-15,9.0
170021,2023-05-22,9.0
170021,2023-05-29,9.0
170021,2023-06-05,6.0
170021,2023-06-12,3.0
170021,2023-06-19,3.0
170021,2023-06-26,3.0
170021,2023-07-03,3.0
170021,2023-07-10,0.0
170021,2023-07-17,0.0
170021,2023-07-24,0.0
170021,2023-07-31,0.0
170031,2022-07-04,91.0
170031,2022-07-11,79.0
170031,2022-07-18,79.0
170031,2022-07-25,79.0
170031,2022-08-01,74.0
170031,2022-08-08,62.0
170031,2022-08-15,61.0
